target_index,lead,time_index,truth,q05,q50,q95
55,3,498,-1.0705914497375488,-1.97906494140625,-1.1544201374053955,-0.2720574140548706
55,4,499,-1.472637414932251,-2.010375738143921,-1.2697703838348389,-0.39298415184020996
55,5,500,-0.9215003252029419,-2.1190357208251953,-1.3646448850631714,-0.5387787222862244
56,1,496,-0.3661312460899353,-1.3903995752334595,-0.35294196009635925,0.49053964018821716
56,2,497,-0.3995491862297058,-1.3398396968841553,-0.34574010968208313,0.42901429533958435
56,3,498,-0.8915613889694214,-1.3194177150726318,-0.3769109547138214,0.37805625796318054
56,4,499,-0.6829394102096558,-1.320006012916565,-0.3916536867618561,0.36159029603004456
56,5,500,-0.19320529699325562,-1.4696345329284668,-0.46072572469711304,0.3211681842803955
57,1,496,0.7277337312698364,-1.356665849685669,-0.6049624085426331,0.2652395963668823
57,2,497,0.632287859916687,-1.2207106351852417,-0.4120338261127472,0.4199863374233246
57,3,498,0.5403655767440796,-1.0876576900482178,-0.20248788595199585,0.642262876033783
57,4,499,0.4136536121368408,-0.9724352359771729,0.013381555676460266,0.8668926954269409
57,5,500,-0.10522030293941498,-0.8777718544006348,0.1770748794078827,1.0071077346801758
58,1,496,-0.1352122724056244,-1.3992290496826172,-0.29796814918518066,0.5246800780296326
58,2,497,0.36774885654449463,-1.528815507888794,-0.426323801279068,0.46020618081092834
58,3,498,-0.23744840919971466,-1.3704782724380493,-0.21430012583732605,0.5686596632003784
58,4,499,-1.457545518875122,-1.4023339748382568,-0.26218825578689575,0.5460796356201172
58,5,500,-0.9061623811721802,-1.3757802248001099,-0.24351464211940765,0.5793803334236145
59,1,496,0.38370275497436523,-0.1441774070262909,0.4821392595767975,1.4218792915344238
59,2,497,0.8432798385620117,-0.26555508375167847,0.34159141778945923,1.2102000713348389
59,3,498,0.07681159675121307,-0.2265300452709198,0.45912352204322815,1.2661824226379395
59,4,499,-0.12215040624141693,-0.20640867948532104,0.5238551497459412,1.3058669567108154
59,5,500,0.41967469453811646,-0.14792948961257935,0.5918871760368347,1.5003834962844849
60,1,496,-0.5179652571678162,-1.3238407373428345,-0.46220889687538147,0.43385693430900574
60,2,497,-0.7903721332550049,-1.349403738975525,-0.46968644857406616,0.3415236473083496
60,3,498,-0.8285384178161621,-1.3857709169387817,-0.48131272196769714,0.3119148313999176
60,4,499,-0.20588940382003784,-1.3459573984146118,-0.5353756546974182,0.3614662289619446
60,5,500,-0.22210630774497986,-1.4182143211364746,-0.5694234371185303,0.3556897044181824
61,1,496,-1.3995912075042725,-2.0159285068511963,-0.9563965797424316,-0.12473928928375244
61,2,497,-1.4851680994033813,-2.008620262145996,-1.0606292486190796,-0.17249786853790283
61,3,498,-0.7112864255905151,-1.947911262512207,-0.9885592460632324,-0.0956069827079773
61,4,499,-0.3972983956336975,-1.991837501525879,-0.9556887745857239,-0.08285403251647949
61,5,500,-0.10104130208492279,-1.9607311487197876,-0.9789972305297852,-0.049687206745147705
62,1,496,0.01734272949397564,-1.5266249179840088,-0.6342965960502625,0.1531030535697937
62,2,497,-0.27525514364242554,-1.4542863368988037,-0.4958745241165161,0.35193532705307007
62,3,498,-0.03379339724779129,-1.4169995784759521,-0.4876595139503479,0.26625311374664307
62,4,499,-0.24843540787696838,-1.3762136697769165,-0.4266720116138458,0.3595949709415436
62,5,500,-0.12834429740905762,-1.2804824113845825,-0.3744123578071594,0.38867801427841187
