input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,Split,RMSE,MSE,MAE,R2
48,12,13,200,False,True,TEST,2.2685101258806726,5.1461381912231445,1.640956163406372,0.8820631504058838
48,12,13,200,True,False,VAL,3.2726834323143037,10.710456848144531,2.311901569366455,0.7702440023422241
48,12,13,200,True,False,TEST,2.211550570298539,4.890955924987793,1.6275830268859863,0.8918856978416443
48,12,13,200,True,True,VAL,2.5400542684449694,6.451875686645508,1.8903346061706543,0.8282148838043213
48,12,13,200,True,True,TEST,2.03555311554527,4.143476486206055,1.4969704151153564,0.9135238528251648
48,12,25,50,False,False,VAL,2.3021132753476183,5.299725532531738,1.7013932466506958,0.8786591291427612
48,12,25,50,False,False,TEST,1.9004784433396325,3.611818313598633,1.3760080337524414,0.9164490699768066
48,12,25,50,False,True,VAL,2.2917294117978706,5.252023696899414,1.7192054986953735,0.842985212802887
48,12,25,50,False,True,TEST,1.8762278668993442,3.520231008529663,1.3685868978500366,0.9250757098197937
48,12,25,50,True,False,VAL,2.8924896000021514,8.366496086120605,2.101689338684082,0.822538435459137
48,12,25,50,True,False,TEST,1.951692101334287,3.8091020584106445,1.4645490646362305,0.9102014899253845
48,12,25,50,True,True,VAL,2.8628324024152807,8.195809364318848,2.2130067348480225,0.790839433670044
48,12,25,50,True,True,TEST,1.9361425997731918,3.748648166656494,1.4203623533248901,0.9236556887626648
48,12,25,100,False,False,VAL,2.5383134411913004,6.443035125732422,1.885359764099121,0.838904619216919
48,12,25,100,False,False,TEST,2.031449762938592,4.126788139343262,1.4956581592559814,0.9107235074043274
48,12,25,100,False,True,VAL,2.4096425898644536,5.806377410888672,1.8206902742385864,0.8231944441795349
48,12,25,100,False,True,TEST,1.9845135858156746,3.9382941722869873,1.464269757270813,0.9171172380447388
48,12,25,100,True,False,VAL,2.937191723819394,8.627095222473145,2.098118543624878,0.810192346572876
48,12,25,100,True,False,TEST,2.110967529444703,4.456183910369873,1.5293591022491455,0.9022700786590576
48,12,25,100,True,True,VAL,2.4080473887384177,5.798692226409912,1.832707405090332,0.8254184722900391
48,12,25,100,True,True,TEST,2.0202276626558606,4.081319808959961,1.4844342470169067,0.9077671766281128
48,12,25,200,False,False,VAL,2.535749321969908,6.43002462387085,1.8704862594604492,0.8351446390151978
48,12,25,200,False,False,TEST,2.49725438984695,6.236279487609863,1.8237162828445435,0.8739047050476074
48,12,25,200,False,True,VAL,2.252718448863744,5.074740409851074,1.6655387878417969,0.8447617292404175
48,12,25,200,False,True,TEST,2.3349029393413807,5.4517717361450195,1.6810909509658813,0.8801361322402954
48,12,25,200,True,False,VAL,3.012206516769793,9.07338809967041,2.127885341644287,0.7963002920150757
48,12,25,200,True,False,TEST,2.1113977976550573,4.458000659942627,1.5644534826278687,0.8985893726348877
48,12,25,200,True,True,VAL,2.3471634485634914,5.509176254272461,1.7410688400268555,0.8447206020355225
48,12,25,200,True,True,TEST,2.0181723178527444,4.073019504547119,1.495856523513794,0.9112524390220642
48,12,37,50,False,False,VAL,2.23826463303714,5.009828567504883,1.648252248764038,0.8870899081230164
48,12,37,50,False,False,TEST,1.8321023044756375,3.3565988540649414,1.3271602392196655,0.919870913028717
48,12,37,50,False,True,VAL,2.384245894750225,5.684628486633301,1.7555738687515259,0.8501757979393005
48,12,37,50,False,True,TEST,1.8063719183618552,3.262979507446289,1.3250701427459717,0.9273958802223206
48,12,37,50,True,False,VAL,3.5625548776783393,12.691797256469727,2.5499682426452637,0.7433965802192688
48,12,37,50,True,False,TEST,2.050919940436803,4.206272602081299,1.5441986322402954,0.904126763343811
48,12,37,50,True,True,VAL,3.0190637776883746,9.11474609375,2.351069450378418,0.7678791284561157
48,12,37,50,True,True,TEST,1.9040381935680593,3.625361442565918,1.405310869216919,0.9222597479820251
48,12,37,100,False,False,VAL,2.5826237124329112,6.669945240020752,1.9129143953323364,0.8383126258850098
48,12,37,100,False,False,TEST,2.0107042439656957,4.04293155670166,1.487910509109497,0.907021164894104
48,12,37,100,False,True,VAL,2.5093893162377174,6.297034740447998,1.8930325508117676,0.8168923854827881
48,12,37,100,False,True,TEST,2.009494655718772,4.038068771362305,1.4780470132827759,0.9172047972679138
48,12,37,100,True,False,VAL,3.3100702263334654,10.956564903259277,2.390774726867676,0.7625123858451843
48,12,37,100,True,False,TEST,2.1320087189845,4.545461177825928,1.5512819290161133,0.9010215997695923
48,12,37,100,True,True,VAL,2.3998711988537313,5.7593817710876465,1.821336269378662,0.8202298879623413
48,12,37,100,True,True,TEST,2.0624213926189823,4.253582000732422,1.5214811563491821,0.904462456703186
48,12,37,200,False,False,VAL,2.5083688849615426,6.291914463043213,1.8501685857772827,0.8397905826568604
48,12,37,200,False,False,TEST,2.2738920720841307,5.1705851554870605,1.6746079921722412,0.8839661478996277
48,12,37,200,False,True,VAL,2.262393725517885,5.118425369262695,1.6720694303512573,0.8440130352973938
48,12,37,200,False,True,TEST,2.1835374091289186,4.76783561706543,1.5839489698410034,0.9027162194252014
48,12,37,200,True,False,VAL,3.2785027038181425,10.748579978942871,2.336252450942993,0.7566120624542236
48,12,37,200,True,False,TEST,2.150389848894331,4.624176502227783,1.5960984230041504,0.8905933499336243
48,12,37,200,True,True,VAL,2.3377815036276623,5.465222358703613,1.7237215042114258,0.8560405969619751
48,12,37,200,True,True,TEST,2.043292455756987,4.175044059753418,1.5211868286132812,0.8993235230445862
48,24,13,50,False,False,VAL,2.2575711976036894,5.096627712249756,1.6669939756393433,0.8822025060653687
48,24,13,50,False,False,TEST,2.1253477821736446,4.51710319519043,1.570652961730957,0.8756000995635986
48,24,13,50,False,True,VAL,2.181874152571012,4.760574817657471,1.6400610208511353,0.8484641909599304
48,24,13,50,False,True,TEST,1.7742832536616704,3.148081064224243,1.3058295249938965,0.929504930973053
48,24,13,50,True,False,VAL,3.6969675628089336,13.667569160461426,2.555070400238037,0.7432594895362854
48,24,13,50,True,False,TEST,1.9951519619996236,3.9806313514709473,1.4820120334625244,0.8908607363700867
48,24,13,50,True,True,VAL,2.1703536379206163,4.710434913635254,1.6119658946990967,0.860114336013794
48,24,13,50,True,True,TEST,1.7952950206997977,3.2230842113494873,1.3038742542266846,0.9277501702308655
48,24,13,100,False,False,VAL,2.3843903867292586,5.685317516326904,1.7727525234222412,0.8655968308448792
48,24,13,100,False,False,TEST,2.1742747928415986,4.727470874786377,1.6154018640518188,0.871330738067627
48,24,13,100,False,True,VAL,2.2269260042844596,4.95919942855835,1.65086030960083,0.850097119808197
48,24,13,100,False,True,TEST,2.0441146758546678,4.178404808044434,1.4879484176635742,0.9152557253837585
